PID,down,same,up,down_%,same_%,up_%
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,44,2,72,37.29,1.69,61.02
06F9F8CE-9696-23CA-25B5-000AA4A793BA,46,17,55,38.98,14.41,46.61
0A221ADF-C99E-307E-7B65-92EF9DABA6C4,51,1,66,43.22,0.85,55.93
0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308,35,5,78,29.66,4.24,66.1
0AD33010-1AC1-E9FB-2FD4-313E3DF4692D,49,22,47,41.53,18.64,39.83
0B5863F1-A482-C95D-EA42-9183B5BDFA12,58,10,50,49.15,8.47,42.37
0D759376-3F10-1BEB-7205-E91B8BF17984,17,29,67,15.04,25.66,59.29
0F3B2D98-51FE-5265-3746-A0763DE31C98,58,18,42,49.15,15.25,35.59
14027B3A-0AD6-CBA3-A600-42B3C0A4D933,45,0,73,38.14,0.0,61.86
165B40B2-D9B2-DBC0-AE48-02C0F49A609F,26,7,85,22.03,5.93,72.03
172A62AD-9B69-33E2-1551-9526879D80AC,2,16,100,1.69,13.56,84.75
1AE03BA6-E346-DEB8-4865-276ECC5CD9B1,46,32,40,38.98,27.12,33.9
1F6A56CA-9C73-442F-2682-BB69E4B03AB2,58,16,37,52.25,14.41,33.33
243FE25F-E451-21F6-7EFA-F9DACC7D31CA,38,8,72,32.2,6.78,61.02
2656C6B4-988A-A958-5107-5422027AEE1D,53,1,64,44.92,0.85,54.24
2C636222-CB43-AB6F-444A-7278047991C7,40,0,78,33.9,0.0,66.1
35FEE4B0-EF25-110F-8D86-5410FA57646B,29,2,87,24.58,1.69,73.73
37249306-1597-DC6D-3544-6FEDBBF8B848,39,15,64,33.05,12.71,54.24
3C54E0F5-9C12-3137-9EC1-39645770F53A,30,65,23,25.42,55.08,19.49
3FC0B5B3-AC42-BF96-D8EE-10E81EAAACF6,5,34,78,4.27,29.06,66.67
4690C2DC-C0B5-6C1B-880A-D31C46C8A565,53,1,63,45.3,0.85,53.85
46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1,36,0,81,30.77,0.0,69.23
47494449-E68E-E554-8BB1-ECEEE432E269,28,0,85,24.78,0.0,75.22
48847236-6E23-6E61-57CD-780C68FAA2C2,67,0,51,56.78,0.0,43.22
48D32E40-ABB9-E3FB-185C-8A5AA0C44CBF,46,11,61,38.98,9.32,51.69
4B423110-8A54-A87F-39BB-D68BF033C7FC,46,0,72,38.98,0.0,61.02
4BD5749B-A1D2-E6C9-156F-DF107802D3BE,46,41,31,38.98,34.75,26.27
4BFAECAC-0CC2-F9AC-17BB-7343BE737D81,23,0,95,19.49,0.0,80.51
4CAE9D77-C8A8-2EE8-53D0-7C3C6331B2C5,10,64,44,8.47,54.24,37.29
5270C847-54C3-180E-9737-1D87A639C450,76,0,42,64.41,0.0,35.59
