video_path,start,end,label
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,0.0,6.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,1.0,7.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,2.0,8.0,same
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,3.0,9.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,4.0,10.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,5.0,11.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,6.0,12.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,7.0,13.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,8.0,14.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,9.0,15.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,10.0,16.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,11.0,17.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,12.0,18.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,13.0,19.0,down
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,14.0,20.0,same
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,15.0,21.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,16.0,22.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,17.0,23.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,18.0,24.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,19.0,25.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,20.0,26.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,21.0,27.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,22.0,28.0,up
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,23.0,29.0,up
