video_path,start,end,label
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,0.0,6.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,1.0,7.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,2.0,8.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,3.0,9.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,4.0,10.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,5.0,11.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,6.0,12.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,7.0,13.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,8.0,14.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,9.0,15.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,10.0,16.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,11.0,17.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,12.0,18.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,13.0,19.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,14.0,20.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,15.0,21.0,down
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,16.0,22.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,17.0,23.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,18.0,24.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,19.0,25.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,20.0,26.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,21.0,27.0,up
./gallery/videos/DBA0C8C4-AE05-772F-2E53-E6167F8ACB77_gallery_C93D1AF7-4AF1-1B00-2E49-16DC87250B22.webm,22.0,28.0,up
