video_path,start_time,end_time,arousal_change,start_frame,end_frame
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,0.0,6.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0021.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0052.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,1.0,7.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0027.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0058.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,2.0,8.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0033.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0064.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,3.0,9.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0039.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0070.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,4.0,10.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0045.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0076.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,5.0,11.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0051.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0082.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,6.0,12.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0057.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0088.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,7.0,13.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0063.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0094.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,8.0,14.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0069.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0100.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,9.0,15.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0075.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0106.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,10.0,16.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0081.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0112.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,11.0,17.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0087.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0118.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,12.0,18.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0093.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0124.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,13.0,19.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0099.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0130.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,14.0,20.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0105.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0136.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,15.0,21.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0111.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0142.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,16.0,22.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0117.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0148.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,17.0,23.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0123.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0154.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,18.0,24.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0129.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0160.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,19.0,25.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0135.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0166.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,20.0,26.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0141.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0172.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,21.0,27.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0147.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0178.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,22.0,28.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0153.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0184.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,23.0,29.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0159.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0190.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,24.0,30.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0165.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0196.png
./apex/videos/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7.webm,25.0,31.0,up,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0171.png,./apex/frames/7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61_apex_C7D36C60-8AAA-004C-8386-9478484444E7/0202.png
