video_path,start_time,end_time,arousal_change,start_frame,end_frame
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,0.0,6.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0021.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0052.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,1.0,7.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0027.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0058.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,2.0,8.0,same,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0033.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0064.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,3.0,9.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0039.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0070.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,4.0,10.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0045.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0076.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,5.0,11.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0051.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0082.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,6.0,12.0,down,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0057.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0088.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,7.0,13.0,up,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0063.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0094.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,8.0,14.0,up,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0069.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0100.png
./endless/videos/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5.webm,9.0,15.0,up,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0075.png,./endless/frames/B9FD0C60-33D3-E99E-2475-815EAD5C89C2_endless_8E6FEF67-3721-FFDD-43D2-2E21E9BFA1B5/0106.png
