video_path,start_time,end_time,arousal_change,start_frame,end_frame
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,0.0,6.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0021.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0052.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,1.0,7.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0027.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0058.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,2.0,8.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0033.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0064.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,3.0,9.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0039.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0070.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,4.0,10.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0045.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0076.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,5.0,11.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0051.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0082.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,6.0,12.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0057.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0088.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,7.0,13.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0063.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0094.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,8.0,14.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0069.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0100.png
./fps/videos/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A.webm,9.0,15.0,up,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0075.png,./fps/frames/FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31_fps_84DBFACE-808A-1FEA-0CC0-E6AE75D27B7A/0106.png
