video_path,start_time,end_time,arousal_change,start_frame,end_frame
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,0.0,6.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0021.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0052.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,1.0,7.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0027.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0058.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,2.0,8.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0033.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0064.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,3.0,9.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0039.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0070.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,4.0,10.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0045.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0076.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,5.0,11.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0051.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0082.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,6.0,12.0,down,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0057.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0088.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,7.0,13.0,down,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0063.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0094.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,8.0,14.0,down,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0069.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0100.png
./gun/videos/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80.webm,9.0,15.0,up,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0075.png,./gun/frames/5E491E0A-C580-29BE-4329-ED7BFF843D0D_gun_45F033B3-E3E8-6D11-6CB9-E3FDB894AD80/0106.png
