video_path,start_time,end_time,arousal_change,start_frame,end_frame
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,0.0,6.0,same,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0021.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0052.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,1.0,7.0,same,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0027.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0058.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,2.0,8.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0033.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0064.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,3.0,9.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0039.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0070.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,4.0,10.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0045.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0076.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,5.0,11.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0051.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0082.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,6.0,12.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0057.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0088.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,7.0,13.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0063.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0094.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,8.0,14.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0069.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0100.png
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,9.0,15.0,up,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0075.png,./platform/frames/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D/0106.png
