video_path,start_time,end_time,arousal_change,start_frame,end_frame
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,0.0,6.0,up,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0021.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0052.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,1.0,7.0,up,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0027.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0058.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,2.0,8.0,up,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0033.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0064.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,3.0,9.0,up,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0039.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0070.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,4.0,10.0,down,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0045.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0076.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,5.0,11.0,down,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0051.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0082.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,6.0,12.0,down,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0057.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0088.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,7.0,13.0,same,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0063.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0094.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,8.0,14.0,same,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0069.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0100.png
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,9.0,15.0,down,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0075.png,./tiny/frames/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B/0106.png
