video_path,start_time,end_time,arousal_change,start_frame,end_frame
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,0.0,6.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0021.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0052.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,1.0,7.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0027.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0058.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,2.0,8.0,down,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0033.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0064.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,3.0,9.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0039.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0070.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,4.0,10.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0045.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0076.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,5.0,11.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0051.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0082.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,6.0,12.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0057.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0088.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,7.0,13.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0063.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0094.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,8.0,14.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0069.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0100.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,9.0,15.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0075.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0106.png
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,10.0,16.0,up,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0081.png,./topdown/frames/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE/0112.png
