video_path,start,end,label
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,0.0,6.0,same
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,1.0,7.0,same
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,2.0,8.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,3.0,9.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,4.0,10.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,5.0,11.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,6.0,12.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,7.0,13.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,8.0,14.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,9.0,15.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,10.0,16.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,11.0,17.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,12.0,18.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,13.0,19.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,14.0,20.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,15.0,21.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,16.0,22.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,17.0,23.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,18.0,24.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,19.0,25.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,20.0,26.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,21.0,27.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,22.0,28.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,23.0,29.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,24.0,30.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,25.0,31.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,26.0,32.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,27.0,33.0,up
./platform/videos/72B642AD-2D4A-574F-05EC-EC93C0C52335_platform_FE695279-C860-439B-AA58-E0B72E2ABA5D.webm,28.0,34.0,same
