video_path,start,end,label
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,0.0,6.0,up
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,1.0,7.0,up
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,2.0,8.0,up
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,3.0,9.0,up
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,4.0,10.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,5.0,11.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,6.0,12.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,7.0,13.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,8.0,14.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,9.0,15.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,10.0,16.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,11.0,17.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,12.0,18.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,13.0,19.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,14.0,20.0,down
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,15.0,21.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,16.0,22.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,17.0,23.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,18.0,24.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,19.0,25.0,same
./tiny/videos/BAAA2876-D490-2AB5-0A98-6EB94C7FC331_tiny_EA4B8E03-E578-370A-B575-F9BB0B9B322B.webm,20.0,26.0,same
