video_path,start,end,label
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,0.0,6.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,1.0,7.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,2.0,8.0,down
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,3.0,9.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,4.0,10.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,5.0,11.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,6.0,12.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,7.0,13.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,8.0,14.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,9.0,15.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,10.0,16.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,11.0,17.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,12.0,18.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,13.0,19.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,14.0,20.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,15.0,21.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,16.0,22.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,17.0,23.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,18.0,24.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,19.0,25.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,20.0,26.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,21.0,27.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,22.0,28.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,23.0,29.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,24.0,30.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,25.0,31.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,26.0,32.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,27.0,33.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,28.0,34.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,29.0,35.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,30.0,36.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,31.0,37.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,32.0,38.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,33.0,39.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,34.0,40.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,35.0,41.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,36.0,42.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,37.0,43.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,38.0,44.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,39.0,45.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,40.0,46.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,41.0,47.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,42.0,48.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,43.0,49.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,44.0,50.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,45.0,51.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,46.0,52.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,47.0,53.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,48.0,54.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,49.0,55.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,50.0,56.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,51.0,57.0,same
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,52.0,58.0,up
./topdown/videos/C24A665A-6B67-FDEA-04A4-C2DA3AF79D51_topdown_8184C47E-FB61-7EA5-BE21-EEC2F8426AAE.webm,53.0,59.0,up
