Metric,Game,Ours (Mean±Std),vs Full (p),vs Full (Sig),vs Full (Diff),vs Base (p),vs Base (Sig),vs Base (Diff)
f1_weighted,apex,0.5845 ± 0.0070,0.8125,ns,+0.0040,0.8125,ns,+0.0040
f1_weighted,endless,0.5558 ± 0.0137,0.0625,ns,+0.0104,0.1875,ns,-0.0269
f1_weighted,fps,0.6275 ± 0.0139,0.8125,ns,+0.0038,0.6250,ns,+0.0038
f1_weighted,gallery,0.5669 ± 0.0162,0.1250,ns,+0.0141,0.1250,ns,+0.0141
f1_weighted,solid,0.6058 ± 0.0147,0.3125,ns,+0.0115,0.3125,ns,+0.0115
f1_weighted,gun,0.5727 ± 0.0130,0.0625,ns,+0.0312,0.0625,ns,+0.0312
f1_weighted,platform,0.5639 ± 0.0243,0.1250,ns,+0.0202,0.1250,ns,+0.0202
f1_weighted,tiny,0.5560 ± 0.0187,0.6250,ns,-0.0075,0.6250,ns,-0.0075
f1_weighted,topdown,0.5974 ± 0.0120,0.6250,ns,+0.0083,0.4375,ns,-0.0036
f1_macro,apex,0.5400 ± 0.0122,0.6250,ns,-0.0044,0.6250,ns,-0.0044
f1_macro,endless,0.5149 ± 0.0179,0.4375,ns,+0.0091,0.1250,ns,-0.0340
f1_macro,fps,0.5799 ± 0.0158,0.8125,ns,+0.0053,0.8125,ns,+0.0026
f1_macro,gallery,0.4958 ± 0.0197,0.0625,ns,+0.0234,0.0625,ns,+0.0234
f1_macro,solid,0.5453 ± 0.0146,0.6250,ns,+0.0023,0.6250,ns,+0.0023
f1_macro,gun,0.5408 ± 0.0131,0.0625,ns,+0.0324,0.0625,ns,+0.0324
f1_macro,platform,0.5308 ± 0.0253,0.1875,ns,+0.0218,0.1875,ns,+0.0218
f1_macro,tiny,0.5211 ± 0.0256,0.6250,ns,-0.0128,0.6250,ns,-0.0128
f1_macro,topdown,0.5495 ± 0.0135,0.8125,ns,+0.0042,0.1875,ns,-0.0113
accuracy,apex,0.5913 ± 0.0071,0.6250,ns,+0.0093,0.6250,ns,+0.0093
accuracy,endless,0.5634 ± 0.0147,0.1250,ns,+0.0141,0.1875,ns,-0.0213
accuracy,fps,0.6358 ± 0.0133,0.6250,ns,+0.0055,0.6250,ns,+0.0043
accuracy,gallery,0.5858 ± 0.0170,0.6250,ns,+0.0072,0.6250,ns,+0.0072
accuracy,solid,0.6141 ± 0.0137,0.1875,ns,+0.0161,0.1875,ns,+0.0161
accuracy,gun,0.5778 ± 0.0111,0.0625,ns,+0.0283,0.0625,ns,+0.0283
accuracy,platform,0.5702 ± 0.0232,0.0625,ns,+0.0204,0.0625,ns,+0.0204
accuracy,tiny,0.5647 ± 0.0158,0.6250,ns,-0.0034,0.6250,ns,-0.0034
accuracy,topdown,0.6038 ± 0.0109,0.6250,ns,+0.0134,1.0000,ns,+0.0025
